Partner,Year,Actual,Predicted,Model
DEU,2019,5.9,5.890242571478108,Stacking
DEU,2019,1.07,1.2160116695279306,Stacking
DEU,2019,0.35,0.4207821159827056,Stacking
DEU,2019,1.59,1.5810651612484803,Stacking
DEU,2020,2.97,2.982127846861695,Stacking
DEU,2020,1.15,1.2556931470551032,Stacking
DEU,2020,1.4,1.51403996585386,Stacking
DEU,2020,0.23,0.3360429406733843,Stacking
DEU,2020,0.92,1.107872305910802,Stacking
DEU,2020,9.13,8.897048254697678,Stacking
DEU,2020,5.95,5.876339595797546,Stacking
DEU,2021,5.96,5.868368889280269,Stacking
DEU,2021,0.21,0.31051463830733783,Stacking
DEU,2021,1.51,1.4205700282322227,Stacking
DEU,2021,9.08,9.099895089933913,Stacking
DEU,2021,0.82,0.9177430325272334,Stacking
DEU,2021,1.11,1.2958304873106574,Stacking
DEU,2021,3.0,2.964182734040061,Stacking
DEU,2022,1.7,1.5873437949931088,Stacking
DEU,2022,0.26,0.3008350555606888,Stacking
DEU,2022,0.79,0.8414696244359003,Stacking
DEU,2022,2.99,2.9991763671394707,Stacking
DEU,2022,5.25,5.7777645297297635,Stacking
DEU,2022,2.12,1.550452984512533,Stacking
DEU,2022,9.14,9.137506573370104,Stacking
DEU,2023,5.16,5.261900572486768,Stacking
DEU,2023,2.19,2.228094587068103,Stacking
DEU,2023,3.02,2.9743387905605854,Stacking
DEU,2023,9.13,9.189085005285712,Stacking
DEU,2023,0.91,0.8418529483610869,Stacking
DEU,2023,0.22,0.30659344299570634,Stacking
DEU,2023,1.69,1.6847796637775125,Stacking
IND,2006,10.78,13.155031047746135,Stacking
IND,2006,12.5,13.488178684828588,Stacking
IND,2006,3.68,4.087112969573033,Stacking
IND,2006,8.99,9.66304571560281,Stacking
IND,2006,9.44,10.426698743182328,Stacking
IND,2006,12.5,13.402429813649487,Stacking
IND,2006,17.44,15.895250918635702,Stacking
IND,2007,11.16,8.443050216028663,Stacking
IND,2007,10.6,8.655628232463425,Stacking
IND,2007,7.69,3.446542577497909,Stacking
IND,2007,22.99,17.245345862269055,Stacking
IND,2007,12.5,11.738930764711716,Stacking
IND,2007,12.5,11.623629010161299,Stacking
IND,2007,12.5,10.202134935535733,Stacking
