Partner,Year,Actual,Predicted,Model,Actual_norm,Pred_norm
CHN,2016,7.05,6.2775422707207245,Stacking,0.27443105756358765,0.9951017775331354
CHN,2017,22.96,23.008492769703032,Stacking,0.9843819723337794,0.9951019340090226
CHN,2017,3.59,3.7712992295866687,Stacking,0.12003569834895134,0.9951017540935464
CHN,2017,5.43,6.251092607582737,Stacking,0.20214190093708162,0.9951017772857654
CHN,2017,7.0,6.79201766997119,Stacking,0.2721999107541276,0.9951017823447565
CHN,2017,3.08,1.5227792018202555,Stacking,0.09727800089245872,0.9951017330643068
CHN,2017,3.88,4.040388392875313,Stacking,0.1329763498438197,0.9951017566101975
CHN,2017,8.56,7.995153269190723,Stacking,0.34181169120928157,0.9951017935970586
CHN,2018,8.56,7.806727923289702,Stacking,0.34181169120928157,0.9951017918348143
CHN,2018,6.96,6.896713026504469,Stacking,0.27041499330655955,0.9951017833239177
CHN,2018,5.21,5.749589942392102,Stacking,0.19232485497545737,0.9951017725954716
CHN,2018,3.28,3.95187332943965,Stacking,0.10620258813029895,0.9951017557823622
CHN,2018,2.67,3.618253690288834,Stacking,0.07898259705488621,0.995101752662191
CHN,2018,22.96,22.79616808059425,Stacking,0.9843819723337794,0.99510193202326
CHN,2018,3.81,4.04951136735019,Stacking,0.12985274431057564,0.99510175669552
CHN,2019,13.56,22.7894613651013,Stacking,0.5649263721552877,0.9951019319605356
CHN,2019,3.58,3.692812295173108,Stacking,0.11958946898705936,0.9951017533594989
CHN,2019,7.16,8.398973041687482,Stacking,0.27933958054439983,0.9951017973737751
CHN,2019,6.96,6.85886518625096,Stacking,0.27041499330655955,0.9951017829699466
CHN,2019,2.15,2.613050742410876,Stacking,0.05577867023650156,0.99510174326105
CHN,2019,2.85,3.4026292761223806,Stacking,0.08701472556894244,0.9951017506455679
CHN,2019,2.73,5.199508690115046,Stacking,0.08165997322623827,0.9951017674508474
CHN,2020,7.39,6.442886176065744,Stacking,0.28960285586791606,0.995101779079511
CHN,2020,3.01,3.0494745290773766,Stacking,0.09415439535921463,0.9951017473426951
CHN,2020,2.98,2.3697308025759707,Stacking,0.09281570727353858,0.9951017409854052
CHN,2020,2.4,2.450457044032909,Stacking,0.06693440428380186,0.9951017417403957
CHN,2020,1.82,1.456617206128791,Stacking,0.04105310129406514,0.9951017324455281
CHN,2020,13.19,14.12025963045311,Stacking,0.5484158857652832,0.9951018508819961
CHN,2020,6.9,6.305138864825898,Stacking,0.2677376171352075,0.995101777791232
CHN,2021,6.89,6.169303010312723,Stacking,0.26729138777331546,0.9951017765208299
CHN,2021,2.08,2.055204411770028,Stacking,0.05265506470325747,0.9951017380438032
CHN,2021,3.21,2.3595997233222263,Stacking,0.10307898259705486,0.9951017408906544
CHN,2021,13.35,11.231475157922391,Stacking,0.5555555555555556,0.9951018238646958
CHN,2021,1.18,1.3794237091366437,Stacking,0.012494422132976343,0.9951017317235774
CHN,2021,2.77,2.269483650941545,Stacking,0.08344489067380632,0.9951017400478456
CHN,2021,7.59,7.140783070118846,Stacking,0.29852744310575635,0.9951017856065781
CHN,2022,3.17,1.3454572469356263,Stacking,0.10129406514948683,0.9951017314059067
CHN,2022,1.63,0.3263980916587741,Stacking,0.032574743418116905,0.995101721875176
CHN,2022,0.9,-0.8430377256948169,Stacking,0.0,0.9951017109380503
CHN,2022,7.61,5.539573220010844,Stacking,0.29941990182954037,0.9951017706312943
CHN,2022,6.83,4.899934197478121,Stacking,0.2646140116019634,0.9951017646490828
CHN,2022,3.0,0.7228896919565848,Stacking,0.09370816599732262,0.9951017255833559
CHN,2022,13.62,10.841565777335251,Stacking,0.5676037483266398,0.9951018202180759
CHN,2023,6.8,6.338492431257016,Stacking,0.26327532351628735,0.9951017781031706
CHN,2023,2.96,2.0738797074820177,Stacking,0.09192324854975456,0.9951017382184636
CHN,2023,7.61,7.326266966460506,Stacking,0.29941990182954037,0.9951017873413126
CHN,2023,13.74,13.349138112001134,Stacking,0.5729585006693441,0.9951018436700971
CHN,2023,1.24,0.6107423148179763,Stacking,0.015171798304328424,0.9951017245344997
CHN,2023,1.54,1.3560170496248882,Stacking,0.0285586791610888,0.9951017315046671
CHN,2023,3.95,2.628643866255318,Stacking,0.13609995537706382,0.9951017434068845
DEU,2007,0.97,43106.67725333828,Stacking,0.08425720620842572,0.9999996965665351
DEU,2007,0.82,43106.61731714691,Stacking,0.06762749445676275,0.9999996945291154
DEU,2007,0.91,43106.65826312668,Stacking,0.07760532150776053,0.9999996959209981
DEU,2007,9.23,43115.603566771024,Stacking,1.0000000000000002,1.0
DEU,2007,1.63,43107.73121695622,Stacking,0.15742793791574278,0.9999997323940729
DEU,2007,2.59,43108.70353970217,Stacking,0.2638580931263858,0.9999997654463808
DEU,2007,5.24,43111.92998718121,Stacking,0.5576496674057649,0.9999998751234771
DEU,2008,5.29,-29374576.68868589,Stacking,0.5631929046563193,1.2660221404559024e-07
DEU,2008,2.7,-29374578.63071465,Stacking,0.2760532150776054,6.058654922203033e-08
DEU,2008,0.81,-29374580.41303134,Stacking,0.0665188470066519,0.0
DEU,2008,9.06,-29374572.32417035,Stacking,0.9811529933481155,2.7496582266639535e-07
DEU,2008,0.97,-29374580.09844756,Stacking,0.08425720620842572,1.0693691931962235e-08
DEU,2008,1.05,-29374580.01585841,Stacking,0.09312638580931265,1.350115674814134e-08
DEU,2008,1.76,-29374580.077765223,Stacking,0.17184035476718404,1.1396749655112615e-08
DEU,2009,8.7,9.87589693300338,Stacking,0.9412416851441241,0.9985347007581588
DEU,2009,1.65,1.4658447727678752,Stacking,0.15964523281596452,0.998534414874038
DEU,2009,0.74,0.8294080197513161,Stacking,0.058758314855875834,0.9985343932395513
DEU,2009,1.09,1.9598476420046147,Stacking,0.09756097560975611,0.998534431666749
DEU,2009,1.1,1.062317117933798,Stacking,0.09866962305986697,0.998534401156864
DEU,2009,2.85,2.4359138336437685,Stacking,0.29268292682926833,0.998534447849736
DEU,2009,5.25,4.959483512093669,Stacking,0.5587583148558758,0.9985345336338055
DEU,2010,5.81,5.108904962448079,Stacking,0.6208425720620843,0.9985345387131105
DEU,2010,2.88,2.8927137271803263,Stacking,0.2960088691796009,0.9985344633778009
DEU,2010,1.03,1.177443369676709,Stacking,0.09090909090909091,0.9985344050703674
DEU,2010,1.17,1.346539393656221,Stacking,0.106430155210643,0.9985344108184729
DEU,2010,0.75,0.8749202280053661,Stacking,0.059866962305986704,0.9985343947866544
DEU,2010,1.68,1.6807835319854272,Stacking,0.1629711751662971,0.9985344221804824
DEU,2010,8.74,9.398879078530818,Stacking,0.9456762749445676,0.9985346845428218
DEU,2011,0.78,0.9815432320417647,Stacking,0.0631929046563193,0.9985343984111056
DEU,2011,1.19,1.3932915379730997,Stacking,0.10864745011086474,0.9985344124077254
DEU,2011,1.26,1.2252686090064673,Stacking,0.11640798226164081,0.9985344066960976
DEU,2011,2.84,2.980198786876098,Stacking,0.2915742793791575,0.9985344663516933
DEU,2011,5.82,5.871672054379153,Stacking,0.6219512195121951,0.9985345646419627
DEU,2011,8.88,9.14506108720756,Stacking,0.9611973392461198,0.9985346759147501
DEU,2011,1.49,1.865208636834364,Stacking,0.1419068736141907,0.9985344284496717
DEU,2012,5.84,6.576727559236578,Stacking,0.6241685144124168,0.9985345886090166
DEU,2012,2.8,3.464372939854334,Stacking,0.287139689578714,0.9985344828102953
DEU,2012,0.79,0.5586099670217552,Stacking,0.06430155210643015,0.9985343840342739
DEU,2012,1.32,0.5337836589580256,Stacking,0.123059866962306,0.9985343831903496
DEU,2012,1.35,0.5754276130825349,Stacking,0.1263858093126386,0.9985343846059586
DEU,2012,8.87,10.537624395937687,Stacking,0.9600886917960088,0.9985347232523563
DEU,2012,1.15,1.0074846985114414,Stacking,0.10421286031042129,0.9985343992929376
DEU,2013,1.59,0.863105561582733,Stacking,0.15299334811529935,0.9985343943850368
DEU,2013,8.66,9.855652535422712,Stacking,0.9368070953436808,0.998534700069988
DEU,2013,0.77,0.4354505182346437,Stacking,0.06208425720620843,0.9985343798476969
DEU,2013,1.21,0.8173826320453808,Stacking,0.11086474501108648,0.9985343928307706
DEU,2013,1.39,1.3405082170599705,Stacking,0.13082039911308202,0.9985344106134543
DEU,2013,2.83,3.020676580309136,Stacking,0.2904656319290466,0.9985344677276607
DEU,2013,5.94,6.038285604189299,Stacking,0.6352549889135255,0.9985345703056813
DEU,2014,1.34,1.4734835408941034,Stacking,0.12527716186252774,0.9985344151337038
DEU,2014,1.2,1.2964824362196437,Stacking,0.1097560975609756,0.9985344091168796
DEU,2014,5.91,5.977004761486013,Stacking,0.6319290465631929,0.9985345682225527
DEU,2014,2.84,2.9117387879859287,Stacking,0.2915742793791575,0.9985344640245226
DEU,2014,0.81,0.8218782005718688,Stacking,0.0665188470066519,0.998534392983589
DEU,2014,8.74,8.713624975871893,Stacking,0.9456762749445676,0.9985346612488798
DEU,2014,1.21,1.6227969280457049,Stacking,0.11086474501108648,0.9985344202093354
DEU,2015,2.9,2.824150618692733,Stacking,0.29822616407982266,0.9985344610471253
DEU,2015,1.45,1.3333726913183686,Stacking,0.13747228381374724,0.9985344103708954
DEU,2015,1.2,1.2046918242347393,Stacking,0.1097560975609756,0.998534405996628
DEU,2015,5.96,5.804267756871489,Stacking,0.6374722838137472,0.9985345623506786
DEU,2015,1.04,1.1917283710998825,Stacking,0.09201773835920178,0.9985344055559595
DEU,2015,0.84,0.7985477261964764,Stacking,0.06984478935698447,0.9985343921905129
DEU,2015,8.94,8.754566397942279,Stacking,0.9678492239467849,0.9985346626406075
DEU,2016,2.89,2.9198034207468235,Stacking,0.2971175166297118,0.9985344642986649
DEU,2016,1.16,1.205468662212477,Stacking,0.10532150776053215,0.9985344060230352
DEU,2016,0.39,0.8534678399688611,Stacking,0.01995565410199557,0.9985343940574203
DEU,2016,1.21,1.0916174287096374,Stacking,0.11086474501108648,0.9985344021528737
DEU,2016,9.07,8.866827081139757,Stacking,0.9822616407982262,0.9985346664567012
DEU,2016,1.21,1.4440452023699222,Stacking,0.11086474501108648,0.998534414133002
DEU,2016,5.93,5.938680065116017,Stacking,0.6341463414634146,0.9985345669197757
DEU,2017,8.94,9.012379450252151,Stacking,0.9678492239467849,0.9985346714044839
DEU,2017,0.43,0.440580013689141,Stacking,0.02439024390243903,0.9985343800220646
DEU,2017,1.47,1.1739317947187602,Stacking,0.13968957871396895,0.9985344049509979
DEU,2017,5.95,5.935583651705894,Stacking,0.6363636363636364,0.9985345668145189
DEU,2017,1.32,1.2098961805256458,Stacking,0.123059866962306,0.9985344061735405
DEU,2017,1.16,1.1595823315926996,Stacking,0.10532150776053215,0.9985344044632145
DEU,2017,2.89,2.86704375516461,Stacking,0.2971175166297118,0.9985344625051978
DEU,2018,2.88,2.9146684825755136,Stacking,0.2960088691796009,0.9985344641241122
DEU,2018,5.95,5.979031815650309,Stacking,0.6363636363636364,0.9985345682914586
DEU,2018,1.6,1.437492008488814,Stacking,0.1541019955654102,0.9985344139102383
DEU,2018,0.41,0.4715335334746516,Stacking,0.022172949002217297,0.9985343810742721
DEU,2018,1.21,1.3439913939541492,Stacking,0.11086474501108648,0.9985344107318584
DEU,2018,8.63,8.978683883577137,Stacking,0.9334811529933482,0.9985346702590656
DEU,2018,1.16,1.2388035615507305,Stacking,0.10532150776053215,0.9985344071561932
DEU,2019,8.85,8.586641713173128,Stacking,0.9578713968957872,0.9985346569323194
DEU,2019,1.18,1.2026698679944532,Stacking,0.10753880266075388,0.9985344059278953
DEU,2019,2.98,2.8756606855705247,Stacking,0.30709534368070956,0.9985344627981144
DEU,2019,5.9,5.937920594858364,Stacking,0.6308203991130821,0.9985345668939589
DEU,2019,1.07,1.2042198561805657,Stacking,0.09534368070953438,0.9985344059805843
DEU,2019,0.35,0.4110575207631852,Stacking,0.015521064301552107,0.9985343790185023
DEU,2019,1.59,1.5361778013227676,Stacking,0.15299334811529935,0.9985344172648788
DEU,2020,2.97,2.975077300598928,Stacking,0.3059866962305987,0.9985344661775979
DEU,2020,1.15,1.1382788953117196,Stacking,0.10421286031042129,0.9985344037390437
DEU,2020,1.4,1.545993862656323,Stacking,0.1319290465631929,0.9985344175985577
DEU,2020,0.23,0.3498419510180765,Stacking,0.002217294900221732,0.9985343769375925
DEU,2020,0.92,1.1010786615054324,Stacking,0.0787139689578714,0.9985344024744908
DEU,2020,9.13,8.855201999173659,Stacking,0.9889135254988916,0.9985346660615281
DEU,2020,5.95,5.900852899987948,Stacking,0.6363636363636364,0.9985345656339114
DEU,2021,5.96,5.9517457368480375,Stacking,0.6374722838137472,0.998534567363919
DEU,2021,0.21,0.2583151812946644,Stacking,0.0,0.9985343738263097
DEU,2021,1.51,1.405917355637759,Stacking,0.14412416851441243,0.9985344128369167
DEU,2021,9.08,9.132603697868127,Stacking,0.9833702882483369,0.9985346754912842
DEU,2021,0.82,0.8536267276362036,Stacking,0.06762749445676275,0.9985343940628214
DEU,2021,1.11,1.1273770018075284,Stacking,0.09977827050997784,0.9985344033684541
DEU,2021,3.0,2.9460419278320726,Stacking,0.30931263858093133,0.9985344651905942
DEU,2022,1.7,1.4823366701475702,Stacking,0.16518847006651885,0.9985344154346495
DEU,2022,0.26,0.2231099230444612,Stacking,0.005543237250554327,0.9985343726295723
DEU,2022,0.79,0.6431989914838782,Stacking,0.06430155210643015,0.9985343869097209
DEU,2022,2.99,2.9753612675120724,Stacking,0.3082039911308205,0.9985344661872507
DEU,2022,5.25,5.944032723968999,Stacking,0.5587583148558758,0.9985345671017294
DEU,2022,2.12,1.086627022805781,Stacking,0.21175166297117518,0.9985344019832342
DEU,2022,9.14,8.983614384970586,Stacking,0.9900221729490023,0.9985346704266689
DEU,2023,5.16,5.470771566204366,Stacking,0.5487804878048781,0.9985345510140944
DEU,2023,2.19,1.936566062504563,Stacking,0.21951219512195122,0.998534430875335
DEU,2023,3.02,2.998221915392758,Stacking,0.31152993348115304,0.9985344669643561
DEU,2023,9.13,9.135589763602171,Stacking,0.9889135254988916,0.99853467559279
DEU,2023,0.91,0.7612935013348725,Stacking,0.07760532150776053,0.9985343909241247
DEU,2023,0.22,0.2987324444412415,Stacking,0.001108647450110866,0.9985343752002197
DEU,2023,1.69,1.6812442295820351,Stacking,0.164079822616408,0.998534422196143
IND,2007,11.16,424512.1135607672,Stacking,0.30803177405119153,0.05342768844379437
IND,2007,10.6,424497.69255092647,Stacking,0.28331862312444833,0.05342587352940502
IND,2007,7.69,424520.6270397077,Stacking,0.15489849955869375,0.053428759883007236
IND,2007,22.99,424489.23113988433,Stacking,0.8300970873786407,0.053424808643046565
IND,2007,12.5,424505.9861905889,Stacking,0.3671668137687555,0.053426917301382826
IND,2007,12.5,424520.7419696811,Stacking,0.3671668137687555,0.05342877434718588
IND,2007,12.5,424492.38178431126,Stacking,0.3671668137687555,0.05342520515826771
IND,2008,7.0,7945804.159053624,Stacking,0.12444836716681376,0.9999980958309302
IND,2008,10.0,7945807.571277142,Stacking,0.2568402471315093,0.9999985252664296
IND,2008,6.46,7945801.716622055,Stacking,0.10061782877316858,0.9999977884457854
IND,2008,20.33,7945819.289266407,Stacking,0.7127096204766107,1.0
IND,2008,4.22,7945802.61517477,Stacking,0.0017652250661959468,0.9999979015305326
IND,2008,6.14,7945805.351733804,Stacking,0.08649602824360106,0.999998245932237
IND,2008,10.0,7945804.459441066,Stacking,0.2568402471315093,0.999998133635321
IND,2009,20.79,29.503706535005094,Stacking,0.7330097087378641,5.660086411818422e-06
IND,2009,10.0,17.548203224693737,Stacking,0.2568402471315093,4.155461199752467e-06
IND,2009,6.86,14.439287620555604,Stacking,0.11827007943512799,3.764197638632707e-06
IND,2009,7.17,13.711502266033731,Stacking,0.13195057369814653,3.672604322570345e-06
IND,2009,5.19,12.024715372688265,Stacking,0.04457193292144751,3.4603186478283166e-06
IND,2009,10.0,16.764405291614338,Stacking,0.2568402471315093,4.056818582987073e-06
IND,2009,7.88,14.990890858447472,Stacking,0.16328331862312448,3.8336180651298084e-06
IND,2010,7.67,-13.877037534819692,Stacking,0.1540158870255958,2.0052862060911312e-07
IND,2010,10.0,-10.398309360640267,Stacking,0.2568402471315093,6.383338707051225e-07
IND,2010,4.18,-15.470404818764507,Stacking,0.0,0.0
IND,2010,6.26,-13.20411391333073,Stacking,0.09179170344218887,2.852174722958308e-07
IND,2010,6.03,-15.057088401772148,Stacking,0.08164165931156223,5.2016739523722736e-08
IND,2010,10.0,-11.91182074105228,Stacking,0.2568402471315093,4.4785528334589615e-07
IND,2010,24.37,-2.129824817443307,Stacking,0.8909973521624007,1.6789400239016792e-06
IND,2011,6.43,5.376004209942025,Stacking,0.09929390997352164,2.6235643779696588e-06
IND,2011,6.21,5.480732133816446,Stacking,0.08958517210944397,2.6367446072397114e-06
IND,2011,5.16,4.274820881925223,Stacking,0.04324801412180054,2.484978142372889e-06
