Partner,HS code,Product Name,Year,TariffRate
Djibouti,39,PLASTICS AND ARTICLES THEREOF,2005,29.37
Djibouti,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,25.51
"Gambia, The",39,PLASTICS AND ARTICLES THEREOF,2009,20
"Gambia, The",85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,18.9
"Gambia, The",94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,20
Seychelles,73,ARTICLES OF IRON OR STEEL,2007,0
Seychelles,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,0.11
Antigua and Barbuda,39,PLASTICS AND ARTICLES THEREOF,2005,14.17
Antigua and Barbuda,73,ARTICLES OF IRON OR STEEL,2007,11.77
Antigua and Barbuda,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2009,8.66
Antigua and Barbuda,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,18.15
Antigua and Barbuda,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,9.79
Antigua and Barbuda,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2009,18.78
Armenia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,5.16
Belize,39,PLASTICS AND ARTICLES THEREOF,2005,11.84
Cape Verde,39,PLASTICS AND ARTICLES THEREOF,2006,10.26
Cape Verde,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,18.26
Eritrea,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,11.58
Georgia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,0.18
Georgia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,2.81
Grenada,73,ARTICLES OF IRON OR STEEL,2008,9.69
Grenada,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,10.9
Grenada,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,8.27
Haiti,73,ARTICLES OF IRON OR STEEL,2007,4.34
Haiti,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,0.84
Liberia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,7.6
Liberia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,24.45
Mauritania,73,ARTICLES OF IRON OR STEEL,2006,15.82
Mauritania,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,5.89
Mauritania,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,8.29
Mauritania,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,10.11
Mauritania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,11.14
St. Kitts and Nevis,73,ARTICLES OF IRON OR STEEL,2006,15.54
St. Kitts and Nevis,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,7.48
St. Kitts and Nevis,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,6.84
St. Lucia,39,PLASTICS AND ARTICLES THEREOF,2005,10.03
St. Lucia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,3.35
St. Lucia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,8.13
St. Vincent and the Grenadines,73,ARTICLES OF IRON OR STEEL,2007,10.22
St. Vincent and the Grenadines,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,7.18
Suriname,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,6.24
Ukraine,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,9.32
Afghanistan,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,2.5
Albania,39,PLASTICS AND ARTICLES THEREOF,2005,7.72
Albania,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,0.72
Albania,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,9.71
Albania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,3.27
Algeria,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,8.08
Algeria,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,30
Angola,73,ARTICLES OF IRON OR STEEL,2005,6.63
Angola,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,2.09
Angola,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2012,3.05
Angola,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,2.06
Angola,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,23.76
Antigua and Barbuda,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,9.06
Antigua and Barbuda,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,19.01
Azerbaijan,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,1.05
Azerbaijan,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,1.5
Argentina,39,PLASTICS AND ARTICLES THEREOF,2006,11.26
Argentina,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,9.61
Argentina,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,6.84
Australia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,2.95
Australia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,3.89
Austria,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,1.51
"Bahamas, The",39,PLASTICS AND ARTICLES THEREOF,2006,31.88
Bahrain,39,PLASTICS AND ARTICLES THEREOF,2006,5
Bahrain,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,5
Bangladesh,73,ARTICLES OF IRON OR STEEL,2005,23.33
Bangladesh,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,2.46
Bangladesh,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,23.64
Armenia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,0.3
Armenia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,6.99
Barbados,39,PLASTICS AND ARTICLES THEREOF,2006,12.48
Barbados,73,ARTICLES OF IRON OR STEEL,2011,10.2
Barbados,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,11.32
Barbados,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,7.95
Barbados,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,18.81
Belgium,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,1.67
Bolivia,39,PLASTICS AND ARTICLES THEREOF,2005,9.76
Bolivia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,4.74
Bolivia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,7.05
Bosnia and Herzegovina,73,ARTICLES OF IRON OR STEEL,2007,8.74
Bosnia and Herzegovina,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,2.56
Botswana,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,0.97
Botswana,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,10.87
Brazil,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,9.5
Belize,39,PLASTICS AND ARTICLES THEREOF,2007,12.13
Belize,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,10.07
Belize,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,6.61
Solomon Islands,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2012,9.99
Brunei,73,ARTICLES OF IRON OR STEEL,2006,0.04
Brunei,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,16.47
Brunei,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,9.51
Bulgaria,39,PLASTICS AND ARTICLES THEREOF,2006,8.37
Bulgaria,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,8.99
Myanmar,39,PLASTICS AND ARTICLES THEREOF,2008,1.57
Myanmar,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,1.18
Myanmar,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,2.31
Myanmar,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,9.81
Burundi,73,ARTICLES OF IRON OR STEEL,2008,15
Burundi,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,10
Burundi,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,12.07
Cambodia,39,PLASTICS AND ARTICLES THEREOF,2008,18.11
Cambodia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,14.22
Cambodia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,29.21
Cambodia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,29.15
Cameroon,73,ARTICLES OF IRON OR STEEL,2012,11.82
Cameroon,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2012,16.11
Cameroon,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2012,10.02
Canada,73,ARTICLES OF IRON OR STEEL,2006,2.59
Canada,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,0.87
Cayman Islands,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2021,22.01
Cayman Islands,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2021,22
Sri Lanka,73,ARTICLES OF IRON OR STEEL,2006,17.59
Sri Lanka,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,4.33
Chad,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,10.02
Chad,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,25.17
Chile,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,6
Chile,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,6
China,73,ARTICLES OF IRON OR STEEL,2005,7.36
China,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,3.96
"Taiwan, China",73,ARTICLES OF IRON OR STEEL,2005,4.8
"Taiwan, China",85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,0.47
"Taiwan, China",90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,0.44
Colombia,39,PLASTICS AND ARTICLES THEREOF,2005,13.25
Colombia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,7.59
Colombia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,6.3
Comoros,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,0
"Congo, Rep.",84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,12.05
"Congo, Rep.",87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2012,27.31
"Congo, Dem. Rep.",39,PLASTICS AND ARTICLES THEREOF,2007,10.48
"Congo, Dem. Rep.",84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,5.37
"Congo, Dem. Rep.",87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,11.73
"Congo, Dem. Rep.",94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,16.91
Costa Rica,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,1.5
Costa Rica,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,13.35
Croatia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,1.1
Cuba,39,PLASTICS AND ARTICLES THEREOF,2006,14.49
Cuba,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,10.84
Cuba,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,11.51
Cuba,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,14.97
Cyprus,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,0.43
Cyprus,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,0.76
Czech Republic,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,1.14
Benin,39,PLASTICS AND ARTICLES THEREOF,2006,14.22
Benin,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,19.59
Denmark,73,ARTICLES OF IRON OR STEEL,2006,2.58
Denmark,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,0.61
Dominica,73,ARTICLES OF IRON OR STEEL,2006,10.21
Dominica,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,10.08
Dominica,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,6.95
Dominican Republic,39,PLASTICS AND ARTICLES THEREOF,2006,8.88
Dominican Republic,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,13.16
Ecuador,73,ARTICLES OF IRON OR STEEL,2005,13.19
Ecuador,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,8.88
Ecuador,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,18.35
El Salvador,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,1.65
Equatorial Guinea,39,PLASTICS AND ARTICLES THEREOF,2005,21.65
Ethiopia(excludes Eritrea),73,ARTICLES OF IRON OR STEEL,2006,16.49
Estonia,73,ARTICLES OF IRON OR STEEL,2005,2.26
Estonia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,0.8
Fiji,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,1.08
Fiji,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,20.73
Finland,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,0.79
France,39,PLASTICS AND ARTICLES THEREOF,2005,6
France,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,5.46
French Polynesia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,7.73
Djibouti,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2009,11.24
Gabon,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,12.61
Gabon,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,19.31
Georgia,73,ARTICLES OF IRON OR STEEL,2007,0
Georgia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2009,0
Georgia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2011,0.01
Georgia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,0
Georgia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2009,0
Germany,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,0.95
Germany,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,1.78
Ghana,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,1.32
Ghana,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2009,10.55
Greece,39,PLASTICS AND ARTICLES THEREOF,2006,5.97
Greece,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,9.07
Guatemala,73,ARTICLES OF IRON OR STEEL,2006,3.94
Guatemala,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,0.86
Guinea,39,PLASTICS AND ARTICLES THEREOF,2012,5.45
Guinea,73,ARTICLES OF IRON OR STEEL,2013,15.22
Guinea,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,8.34
Guinea,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,13.06
Guinea,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2009,5.59
Guinea,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,19.9
Guyana,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,13.71
Honduras,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,1.23
Honduras,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,13.13
"Hong Kong, China",85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,0
Hungary,39,PLASTICS AND ARTICLES THEREOF,2006,5.94
Hungary,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,3.88
Iceland,73,ARTICLES OF IRON OR STEEL,2006,2.37
Iceland,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,0
India,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,8.99
India,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,12.5
Indonesia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,4.78
Ireland,39,PLASTICS AND ARTICLES THEREOF,2006,6
Ireland,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,6.53
Israel,73,ARTICLES OF IRON OR STEEL,2006,7.08
Israel,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,1.68
Italy,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,1.43
Italy,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,1.8
Cote d'Ivoire,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,9.22
Jamaica,73,ARTICLES OF IRON OR STEEL,2006,3.42
Japan,73,ARTICLES OF IRON OR STEEL,2005,1.12
Japan,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,0.01
Jordan,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,8.8
Jordan,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,25.98
Kenya,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,3.18
Kenya,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,4.78
"Korea, Rep.",39,PLASTICS AND ARTICLES THEREOF,2006,6.74
"Korea, Rep.",87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,7.69
Kuwait,73,ARTICLES OF IRON OR STEEL,2006,5
Kuwait,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,5
Kyrgyz Republic,73,ARTICLES OF IRON OR STEEL,2007,0.13
Kyrgyz Republic,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,0.2
Lao PDR,39,PLASTICS AND ARTICLES THEREOF,2005,5
Lao PDR,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,5.25
Lao PDR,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,36.27
Lebanon,39,PLASTICS AND ARTICLES THEREOF,2006,3.05
Lebanon,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,4.99
Lesotho,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,0.18
Latvia,39,PLASTICS AND ARTICLES THEREOF,2006,5.78
Latvia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,8.64
Libya,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,0
Lithuania,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,0.95
Lithuania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,1.28
Luxembourg,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,1.86
Macao,39,PLASTICS AND ARTICLES THEREOF,2005,0
Macao,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,0
Macao,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,0
Madagascar,73,ARTICLES OF IRON OR STEEL,2006,10.78
Madagascar,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,10.02
Malawi,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,2.52
Malawi,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,19.82
Malaysia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,1.51
Malaysia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,0.36
Maldives,39,PLASTICS AND ARTICLES THEREOF,2007,25.45
Maldives,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,21.45
Maldives,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,20.7
Mali,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,6
Mali,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,20
Malta,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,0.19
Mauritius,39,PLASTICS AND ARTICLES THEREOF,2006,1.38
Mauritius,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,5.26
Mexico,73,ARTICLES OF IRON OR STEEL,2005,12.28
Mexico,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,6.95
Mexico,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,13.68
Mongolia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,4.99
Moldova,39,PLASTICS AND ARTICLES THEREOF,2005,4.18
Moldova,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,0.52
Moldova,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,0.78
Morocco,39,PLASTICS AND ARTICLES THEREOF,2008,22.71
Morocco,73,ARTICLES OF IRON OR STEEL,2006,31.74
Morocco,73,ARTICLES OF IRON OR STEEL,2014,18.23
Morocco,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2012,6.42
Morocco,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,9.94
Morocco,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,18.81
Morocco,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,4.54
Morocco,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2014,2.9
Morocco,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2012,15.34
Mozambique,73,ARTICLES OF IRON OR STEEL,2007,8.54
Mozambique,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,5.53
Oman,39,PLASTICS AND ARTICLES THEREOF,2005,5
Oman,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,5
Namibia,73,ARTICLES OF IRON OR STEEL,2005,7.61
Namibia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,0.2
Nepal,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,10.27
Nepal,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,35
Netherlands,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,1.34
Vanuatu,39,PLASTICS AND ARTICLES THEREOF,2005,19.58
Vanuatu,73,ARTICLES OF IRON OR STEEL,2008,15.38
Vanuatu,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,22.35
Vanuatu,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2009,21.17
Vanuatu,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,28.27
New Zealand,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,2.96
New Zealand,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,6.79
Nicaragua,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,2.44
Niger,39,PLASTICS AND ARTICLES THEREOF,2006,5.69
Eswatini,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2016,3.02
Eswatini,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2014,1.02
Eswatini,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2012,10.5
Sweden,39,PLASTICS AND ARTICLES THEREOF,2015,5.95
Sweden,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,1.17
Sweden,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2016,1.42
Sweden,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2014,0.93
Switzerland,39,PLASTICS AND ARTICLES THEREOF,2012,0
Switzerland,73,ARTICLES OF IRON OR STEEL,2015,
Switzerland,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2013,0
Switzerland,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2016,0
Switzerland,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2014,0
Syrian Arab Republic,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2020,5
Tajikistan,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2019,3.03
Tajikistan,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2021,9.93
Thailand,39,PLASTICS AND ARTICLES THEREOF,2014,5.22
