Partner,HS code,Product Name,Year,TariffRate
Eritrea,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,16.59
Georgia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,0.3
Grenada,39,PLASTICS AND ARTICLES THEREOF,2007,13.01
Grenada,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,8.11
Grenada,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,15.63
Grenada,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,18.2
Haiti,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,0.11
Haiti,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,7.73
Liberia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2011,9.71
Mauritania,39,PLASTICS AND ARTICLES THEREOF,2007,9.83
Mauritania,73,ARTICLES OF IRON OR STEEL,2009,18.82
Mauritania,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2011,7.9
Mauritania,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,10.59
Mauritania,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2009,2.12
Mauritania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2011,19.18
St. Kitts and Nevis,73,ARTICLES OF IRON OR STEEL,2009,16.37
St. Kitts and Nevis,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2009,9.96
St. Kitts and Nevis,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2009,10.7
St. Lucia,73,ARTICLES OF IRON OR STEEL,2005,8.73
St. Lucia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,11.59
St. Lucia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,19.37
St. Vincent and the Grenadines,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,1.22
Suriname,39,PLASTICS AND ARTICLES THEREOF,2007,7.32
Ukraine,73,ARTICLES OF IRON OR STEEL,2006,4.23
Venezuela,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,8.07
Afghanistan,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,5
Albania,39,PLASTICS AND ARTICLES THEREOF,2008,3.84
Albania,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,0.22
Albania,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,0.1
Albania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,3.11
Algeria,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,16.2
Angola,39,PLASTICS AND ARTICLES THEREOF,2006,6.2
Angola,73,ARTICLES OF IRON OR STEEL,2011,7.23
Angola,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,2.08
Angola,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,6.29
Angola,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2011,2.01
Angola,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2013,14.59
Antigua and Barbuda,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2011,10.64
Azerbaijan,39,PLASTICS AND ARTICLES THEREOF,2007,8.19
Azerbaijan,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,8.34
Azerbaijan,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,1.37
